ue_code,ue_name,subject_code,subject_name,credit,semestre,program,department,level
L-GC-S01,UE Semestre 1 - License Genie civile,CHM1120,Chimie appliquée,3,1.0,License Genie civile,Genie civile,L1
L-GC-S01,UE Semestre 1 - License Genie civile,FRA1120,Techniques de communication orales,2,1.0,License Genie civile,Genie civile,L1
L-GC-S01,UE Semestre 1 - License Genie civile,INF1120,Algorithmique et Initiation à la programmation,4,1.0,License Genie civile,Genie civile,L1
L-GC-SXX,UE Hors semestre - License Genie civile,MTH1120,Bases mathématiques,4,,License Genie civile,Genie civile,Lx
L-GC-S01,UE Semestre 1 - License Genie civile,MTH1121,Calcul différentiel et Pratique,6,1.0,License Genie civile,Genie civile,L1
L-GC-S01,UE Semestre 1 - License Genie civile,MTU1120,Méthode de travail universitaire,2,1.0,License Genie civile,Genie civile,L1
L-GC-S01,UE Semestre 1 - License Genie civile,PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,4,1.0,License Genie civile,Genie civile,L1
L-GC-S01,UE Semestre 1 - License Genie civile,PHY1121,Physique pour l'ingénieur : Électricité,5,1.0,License Genie civile,Genie civile,L1
L-GC-S02,UE Semestre 2 - License Genie civile,ANG1221,Anglais : compréhension orale et écrite,2,2.0,License Genie civile,Genie civile,L1
L-GC-S02,UE Semestre 2 - License Genie civile,FRA1220,Techniques de communication écrites,2,2.0,License Genie civile,Genie civile,L1
L-GC-S02,UE Semestre 2 - License Genie civile,GEM1220,Géométrie descriptive et dessin,5,2.0,License Genie civile,Genie civile,L1
L-GC-S02,UE Semestre 2 - License Genie civile,INF1220,Structure de données et programmation C,4,2.0,License Genie civile,Genie civile,L1
L-GC-S02,UE Semestre 2 - License Genie civile,INF1221,Programmation Python,3,2.0,License Genie civile,Genie civile,L1
L-GC-S02,UE Semestre 2 - License Genie civile,MTH1220,Structure algébrique de base,4,2.0,License Genie civile,Genie civile,L1
L-GC-S02,UE Semestre 2 - License Genie civile,MTH1221,Algèbre linéaire et Pratique,6,2.0,License Genie civile,Genie civile,L1
L-GC-S02,UE Semestre 2 - License Genie civile,PHY1220,Mécanique du solide,4,2.0,License Genie civile,Genie civile,L1
L-GC-S03,UE Semestre 3 - License Genie civile,INF1320,Programmation Orientée Objet,4,3.0,License Genie civile,Genie civile,L2
L-GC-S03,UE Semestre 3 - License Genie civile,INF1321,Architecture et technologie des ordinateurs et des Système d'information,3,3.0,License Genie civile,Genie civile,L2
L-GC-S03,UE Semestre 3 - License Genie civile,MTH1320,Séries et intégrations multiple et généralisée,4,3.0,License Genie civile,Genie civile,L2
L-GC-S03,UE Semestre 3 - License Genie civile,MTH1321,Mathématiques pour l’Ingénieur : Probabilités et Statistiques,5,3.0,License Genie civile,Genie civile,L2
L-GC-S03,UE Semestre 3 - License Genie civile,MTH1322,Algèbre tensorielle,2,3.0,License Genie civile,Genie civile,L2
L-GC-S03,UE Semestre 3 - License Genie civile,PHY1320,Physique pour l'ingénieur : Loi de la thermodynamique,2,3.0,License Genie civile,Genie civile,L2
L-GC-S03,UE Semestre 3 - License Genie civile,PHY1321,Physique pour l'ingénieur : Optique,4,3.0,License Genie civile,Genie civile,L2
L-GC-S03,UE Semestre 3 - License Genie civile,SEG1320,Economie et comptabilité,4,3.0,License Genie civile,Genie civile,L2
L-GC-S04,UE Semestre 4 - License Genie civile,ANG1420,Anglais de spécialité : Approche thématique des textes compréhension orale et écrite,2,4.0,License Genie civile,Genie civile,L2
L-GC-S04,UE Semestre 4 - License Genie civile,GEC1422,Résistance des Matériaux pour GC,5,4.0,License Genie civile,Genie civile,L2
L-GC-S04,UE Semestre 4 - License Genie civile,GEC1423,Hydraulique des bases,4,4.0,License Genie civile,Genie civile,L2
L-GC-S04,UE Semestre 4 - License Genie civile,GEL1429,Installations électriques,2,4.0,License Genie civile,Genie civile,L2
L-GC-S04,UE Semestre 4 - License Genie civile,MTH1420,Calcul différentiel dans Rn,4,4.0,License Genie civile,Genie civile,L2
L-GC-S04,UE Semestre 4 - License Genie civile,MTH1421,Statistiques inférentielles (décisionnelles),2,4.0,License Genie civile,Genie civile,L2
L-GC-S04,UE Semestre 4 - License Genie civile,MTH1422,Analyse numérique et Pratique,5,4.0,License Genie civile,Genie civile,L2
L-GC-S04,UE Semestre 4 - License Genie civile,MTH1423,Théorie des graphes,4,4.0,License Genie civile,Genie civile,L2
L-GC-S05,UE Semestre 5 - License Genie civile,GEC1520,Technique de construction,4,5.0,License Genie civile,Genie civile,L3
L-GC-S05,UE Semestre 5 - License Genie civile,GEC1521,Structures,2,5.0,License Genie civile,Genie civile,L3
L-GC-S05,UE Semestre 5 - License Genie civile,GEC1522,Topographie appliquée,6,5.0,License Genie civile,Genie civile,L3
L-GC-S05,UE Semestre 5 - License Genie civile,GEC1523,Matériaux: de génie civil,6,5.0,License Genie civile,Genie civile,L3
L-GC-S05,UE Semestre 5 - License Genie civile,GEC1524,Dessin appliqué au génie civil,6,5.0,License Genie civile,Genie civile,L3
L-GC-S05,UE Semestre 5 - License Genie civile,GEC1525,Géotechnique,4,5.0,License Genie civile,Genie civile,L3
L-GC-SXX,UE Hors semestre - License Genie civile,GEC1620,Routes,6,,License Genie civile,Genie civile,Lx
L-GC-SXX,UE Hors semestre - License Genie civile,GEC1621,Béton Armé,5,,License Genie civile,Genie civile,Lx
L-GC-S06,UE Semestre 6 - License Genie civile,GEC1622,Hydrologie de l' ingénieur,4,6.0,License Genie civile,Genie civile,L3
L-GC-S06,UE Semestre 6 - License Genie civile,GEC1623,Métré et étude de prix,2,6.0,License Genie civile,Genie civile,L3
L-GC-S06,UE Semestre 6 - License Genie civile,GEC1624,Construction métallique : notions de bases et technologie,3,6.0,License Genie civile,Genie civile,L3
L-GC-S06,UE Semestre 6 - License Genie civile,GEC1625,Eau et assainissement:technologie,5,6.0,License Genie civile,Genie civile,L3
L-GC-S06,UE Semestre 6 - License Genie civile,GEC1626,Mécanique des sols,2,6.0,License Genie civile,Genie civile,L3
L-GE-S01,UE Semestre 1 - License Genie Electrique,CHM1120,Chimie appliquée,3,1.0,License Genie Electrique,Genie Electrique,L1
L-GE-S01,UE Semestre 1 - License Genie Electrique,FRA1120,Techniques de communication orales,2,1.0,License Genie Electrique,Genie Electrique,L1
L-GE-S01,UE Semestre 1 - License Genie Electrique,INF1120,Algorithmique et Initiation à la programmation,4,1.0,License Genie Electrique,Genie Electrique,L1
L-GE-S01,UE Semestre 1 - License Genie Electrique,MTH1120,Bases mathématiques,4,1.0,License Genie Electrique,Genie Electrique,L1
L-GE-S01,UE Semestre 1 - License Genie Electrique,MTH1121,Calcul différentiel et Pratique,6,1.0,License Genie Electrique,Genie Electrique,L1
L-GE-S01,UE Semestre 1 - License Genie Electrique,MTU1120,Méthode de travail universitaire,2,1.0,License Genie Electrique,Genie Electrique,L1
L-GE-S01,UE Semestre 1 - License Genie Electrique,PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,4,1.0,License Genie Electrique,Genie Electrique,L1
L-GE-S01,UE Semestre 1 - License Genie Electrique,PHY1121,Physique pour l'ingénieur : Électricité,5,1.0,License Genie Electrique,Genie Electrique,L1
L-GE-S02,UE Semestre 2 - License Genie Electrique,ANG1221,Anglais : compréhension orale et écrite,2,2.0,License Genie Electrique,Genie Electrique,L1
L-GE-S02,UE Semestre 2 - License Genie Electrique,FRA1220,Techniques de communication écrites,2,2.0,License Genie Electrique,Genie Electrique,L1
L-GE-S02,UE Semestre 2 - License Genie Electrique,GEM1220,Géométrie descriptive et dessin,5,2.0,License Genie Electrique,Genie Electrique,L1
L-GE-S02,UE Semestre 2 - License Genie Electrique,INF1220,Structure de données et programmation C,4,2.0,License Genie Electrique,Genie Electrique,L1
L-GE-S02,UE Semestre 2 - License Genie Electrique,INF1221,Programmation Python,3,2.0,License Genie Electrique,Genie Electrique,L1
L-GE-S02,UE Semestre 2 - License Genie Electrique,MTH1220,Structure algébrique de base,4,2.0,License Genie Electrique,Genie Electrique,L1
L-GE-S02,UE Semestre 2 - License Genie Electrique,MTH1221,Algèbre linéaire et Pratique,6,2.0,License Genie Electrique,Genie Electrique,L1
L-GE-S02,UE Semestre 2 - License Genie Electrique,PHY1220,Mécanique du solide,4,2.0,License Genie Electrique,Genie Electrique,L1
L-GE-S03,UE Semestre 3 - License Genie Electrique,INF1320,Programmation Orientée Objet,4,3.0,License Genie Electrique,Genie Electrique,L2
L-GE-S03,UE Semestre 3 - License Genie Electrique,INF1321,Architecture et technologie des ordinateurs et des Système d'information,3,3.0,License Genie Electrique,Genie Electrique,L2
L-GE-S03,UE Semestre 3 - License Genie Electrique,MTH1320,Séries et intégrations multiple et généralisée,4,3.0,License Genie Electrique,Genie Electrique,L2
L-GE-S03,UE Semestre 3 - License Genie Electrique,MTH1321,Mathématiques pour l’Ingénieur : Probabilités et Statistiques,5,3.0,License Genie Electrique,Genie Electrique,L2
L-GE-S03,UE Semestre 3 - License Genie Electrique,MTH1322,Algèbre tensorielle,2,3.0,License Genie Electrique,Genie Electrique,L2
L-GE-S03,UE Semestre 3 - License Genie Electrique,PHY1320,Physique pour l'ingénieur : Loi de la thermodynamique,2,3.0,License Genie Electrique,Genie Electrique,L2
