student_id,department,program,level,ue_code,ue_name,subject_code,subject_name,teacher,credit,grade
STU0001,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,CHM1120,Chimie appliquée,Dr GC1,3,9.9
STU0001,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,FRA1120,Techniques de communication orales,Pr GC3,2,14.86
STU0001,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,INF1120,Algorithmique et Initiation à la programmation,Dr GC1,4,13.76
STU0001,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,MTH1121,Calcul différentiel et Pratique,Dr GC1,6,12.73
STU0001,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,MTU1120,Méthode de travail universitaire,Dr GC2,2,12.63
STU0001,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,Pr GC3,4,10.05
STU0001,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,PHY1121,Physique pour l'ingénieur : Électricité,Pr GC3,5,11.29
STU0001,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,ANG1221,Anglais : compréhension orale et écrite,Pr GC3,2,6.42
STU0001,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,FRA1220,Techniques de communication écrites,Dr GC1,2,8.99
STU0001,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,GEM1220,Géométrie descriptive et dessin,Pr GC3,5,14.0
STU0001,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,INF1220,Structure de données et programmation C,Dr GC1,4,15.6
STU0001,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,INF1221,Programmation Python,Dr GC2,3,9.02
STU0001,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,MTH1220,Structure algébrique de base,Pr GC3,4,12.01
STU0001,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,MTH1221,Algèbre linéaire et Pratique,Pr GC3,6,4.38
STU0001,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,PHY1220,Mécanique du solide,Dr GC1,4,15.62
STU0002,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,CHM1120,Chimie appliquée,Dr GC1,3,14.38
STU0002,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,FRA1120,Techniques de communication orales,Dr GC2,2,10.56
STU0002,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,INF1120,Algorithmique et Initiation à la programmation,Dr GC1,4,14.85
STU0002,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,MTH1121,Calcul différentiel et Pratique,Dr GC1,6,12.18
STU0002,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,MTU1120,Méthode de travail universitaire,Pr GC3,2,11.02
STU0002,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,Dr GC2,4,7.31
STU0002,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,PHY1121,Physique pour l'ingénieur : Électricité,Pr GC3,5,14.68
STU0002,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,ANG1221,Anglais : compréhension orale et écrite,Dr GC1,2,9.89
STU0002,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,FRA1220,Techniques de communication écrites,Pr GC3,2,11.49
STU0002,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,GEM1220,Géométrie descriptive et dessin,Dr GC2,5,16.28
STU0002,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,INF1220,Structure de données et programmation C,Pr GC3,4,13.98
STU0002,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,INF1221,Programmation Python,Dr GC2,3,13.18
STU0002,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,MTH1220,Structure algébrique de base,Dr GC2,4,7.22
STU0002,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,MTH1221,Algèbre linéaire et Pratique,Pr GC3,6,10.53
STU0002,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,PHY1220,Mécanique du solide,Dr GC1,4,8.98
STU0003,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,CHM1120,Chimie appliquée,Pr GC3,3,10.82
STU0003,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,FRA1120,Techniques de communication orales,Dr GC1,2,9.82
STU0003,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,INF1120,Algorithmique et Initiation à la programmation,Dr GC2,4,8.85
STU0003,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,MTH1121,Calcul différentiel et Pratique,Dr GC2,6,11.1
STU0003,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,MTU1120,Méthode de travail universitaire,Dr GC1,2,11.08
STU0003,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,Dr GC1,4,11.17
STU0003,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,PHY1121,Physique pour l'ingénieur : Électricité,Dr GC2,5,9.25
STU0003,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,ANG1221,Anglais : compréhension orale et écrite,Dr GC2,2,8.41
STU0003,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,FRA1220,Techniques de communication écrites,Dr GC1,2,11.65
STU0003,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,GEM1220,Géométrie descriptive et dessin,Dr GC2,5,13.95
STU0003,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,INF1220,Structure de données et programmation C,Dr GC2,4,10.83
STU0003,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,INF1221,Programmation Python,Dr GC2,3,9.37
STU0003,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,MTH1220,Structure algébrique de base,Pr GC3,4,10.05
STU0003,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,MTH1221,Algèbre linéaire et Pratique,Dr GC2,6,9.62
STU0003,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,PHY1220,Mécanique du solide,Dr GC2,4,15.1
STU0004,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,CHM1120,Chimie appliquée,Dr GC2,3,12.32
STU0004,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,FRA1120,Techniques de communication orales,Dr GC2,2,11.89
STU0004,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,INF1120,Algorithmique et Initiation à la programmation,Dr GC2,4,9.68
STU0004,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,MTH1121,Calcul différentiel et Pratique,Dr GC2,6,12.09
STU0004,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,MTU1120,Méthode de travail universitaire,Dr GC2,2,13.86
STU0004,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,PHY1120,Physique pour l'ingénieur : Éléments de mécanique classique du point dans un référentiel galiléen,Dr GC2,4,16.11
STU0004,Genie civile,License Genie civile,L1,L-GC-S01,UE Semestre 1 - License Genie civile,PHY1121,Physique pour l'ingénieur : Électricité,Dr GC2,5,10.25
STU0004,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,ANG1221,Anglais : compréhension orale et écrite,Dr GC1,2,11.3
STU0004,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,FRA1220,Techniques de communication écrites,Dr GC1,2,11.39
STU0004,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,GEM1220,Géométrie descriptive et dessin,Pr GC3,5,9.14
STU0004,Genie civile,License Genie civile,L1,L-GC-S02,UE Semestre 2 - License Genie civile,INF1220,Structure de données et programmation C,Dr GC1,4,13.44
